Tick,StoppedRobots,AvgDistance
1,0,1.57797
2,28,1.57849
3,32,1.57931
4,34,1.58066
5,42,1.58191
6,48,1.58377
7,53,1.58608
8,57,1.58877
9,62,1.59188
10,64,1.59529
11,66,1.59905
12,67,1.60294
13,67,1.60691
14,69,1.61121
15,72,1.61559
16,74,1.62008
17,75,1.62478
18,76,1.62952
19,76,1.63407
20,77,1.63849
21,77,1.64267
22,78,1.64569
23,78,1.6488
24,79,1.65151
25,80,1.65395
26,80,1.65699
27,81,1.65955
28,81,1.66214
29,81,1.66457
30,81,1.66643
31,82,1.66781
32,83,1.669
33,84,1.66979
34,84,1.67059
35,85,1.67115
36,85,1.67183
37,85,1.67253
38,87,1.67286
39,87,1.67288
40,88,1.67301
41,90,1.67299
42,90,1.67228
43,90,1.67163
44,90,1.67094
45,90,1.67018
46,90,1.66935
47,90,1.66846
48,90,1.66729
49,90,1.66596
50,91,1.66471
51,91,1.66336
52,91,1.66232
53,91,1.6611
54,91,1.65975
55,92,1.65828
56,92,1.65672
57,92,1.65519
58,92,1.65358
59,92,1.65204
60,92,1.65049
61,93,1.64894
62,93,1.64746
63,94,1.64621
64,94,1.64505
65,95,1.64398
66,95,1.64294
67,95,1.64221
68,95,1.64159
69,95,1.64103
70,95,1.64052
71,95,1.64007
72,95,1.63969
73,95,1.63936
74,95,1.6391
75,95,1.63893
76,95,1.6388
77,95,1.63867
78,95,1.63856
79,96,1.63846
80,97,1.63833
81,97,1.6384
82,97,1.63844
83,98,1.63842
84,98,1.63836
85,98,1.63801
86,99,1.63754
87,99,1.63705
88,99,1.63672
89,99,1.63642
90,99,1.63612
91,99,1.63582
92,99,1.63553
93,99,1.63524
94,99,1.63495
95,99,1.63466
96,99,1.63438
97,99,1.6341
98,99,1.63382
99,99,1.63354
100,99,1.63326
101,99,1.63299
102,99,1.63272
103,99,1.63246
104,99,1.63219
105,99,1.63193
106,99,1.63168
107,99,1.63142
108,99,1.63123
109,99,1.63107
110,99,1.63096
111,99,1.63089
112,99,1.63088
113,99,1.63093
114,99,1.631
115,99,1.63107
116,99,1.63115
117,99,1.63123
118,99,1.63131
119,99,1.6314
120,99,1.63149
121,99,1.63159
122,99,1.63169
123,99,1.63179
124,99,1.63189
125,99,1.632
126,99,1.63211
127,99,1.63223
128,99,1.63235
129,99,1.63247
130,99,1.6326
131,99,1.63273
132,99,1.63286
133,100,1.63299
134,100,1.63313
135,100,1.63316
136,100,1.63316
137,100,1.63316
138,100,1.63316
139,100,1.63316
140,100,1.63316
141,100,1.63316
142,100,1.63316
143,100,1.63316
144,100,1.63316
145,100,1.63316
146,100,1.63316
147,100,1.63316
148,100,1.63316
149,100,1.63316
150,100,1.63316
151,100,1.63316
152,72,1.63316
